P00001606T0076|14 37|alkaline phosphatases and 5
P10644357A0935|23 25|VP1
P10644357A0935|124 126|VP3
P10644357A0935|118 120|VP2
P10644753A0725|28 44|anti-FLAG antibody
P10644760A0956|42 67|N-terminal activation domain
P10644760A0956|72 97|C-terminal repression domain
P10646863A0838|16 21|ICBP90
P10646863A0838|75 104|endogenous topoisomerase IIalpha
P10646863A0838|24 28|COS-1
P10647817T0000|11 15|cDNAs
P10647817T0000|74 77|PTA1
P10647817T0000|50 72|T cell activation antigen 1
P10647859A0000|304 306|CO2
P10648020A0151|8 26|Von Willebrand factor
P10648020A0151|63 82|plasminogen activator
P10648020A0151|145 149|PAI-1
P10648020A0151|162 171|fibrinogen
P10648020A0151|176 194|inflammatory markers
P10648020A0151|152 160|platelets
P10648020A0151|114 143|plasminogen activator inhibitor 1
P10648020A0151|28 30|vWF
P10648619A0000|43 61|TATA-binding protein
P10648619A0000|63 65|TBP
P10649449A0413|41 61|squalene synthase genes
P10649449A0413|139 164|binding and catalytic domains
P10649449A0413|65 71|enzymes
P10650938T0000|83 93|trout ER gene
P10650939A0789|36 40|A-Fos
P10650939A0789|61 64|AP-1
P10650939A1542|33 52|progesterone receptor
P10650939A1542|61 64|PR-A
P10650939A1542|111 114|luc3
P10650939A1542|101 109|PGDH-2368
P10650939A1542|54 57|PR-B
P10650958A1315|46 66|consensus c-myb element
P10650958A1315|55 59|c-myb
P10651805T0000|103 123|parental leukemia cells
P10652093A0139|54 63|A118 genome
P10652093A0139|124 150|double-stranded DNA molecules
P10652102A0620|30 42|wild-type Fus3
P10652228A0759|25 45|c-Jun N-terminal kinase
P10652228A0759|105 107|Dbl
P10652228A0759|58 85|Rho family GTP-binding proteins
P10652362A0933|32 47|carboxyl terminus
P10652362A0933|118 144|endocytic adaptor complex AP-2
P10652362A0933|50 53|CFTR
P10653359A1297|12 13|D1
P10653550A1120|52 67|peripheral region
P10653693A0903|71 75|KAP-1
P10653697A0133|0 5|Actins
P10653697A0133|65 82|N-terminal sequence
P10655164A0546|164 166|x10
P10655230A0685|29 74|mouse GCN2 isoforms contain HisRS-related sequences
P10655230A0685|90 110|kinase catalytic domain
P10656802A1724|25 51|cathepsin X amino acid sequence
P10657238A0541|76 84|mStaf gene
P10657238A0541|106 120|mouse NMuMG cells
P10657658A0165|16 24|T-24 cells
P10657658A0165|63 74|I kappa B alpha
P10657658A0165|144 157|ICAM-1 promoter
P10657658A0165|41 51|HA fragments
P10657899A0685|61 67|PKCzeta
P10657899A0685|104 111|JB6 cells
P10657899A0685|98 101|AP-1
P10657899A0685|98 101|AP-1
P10658588A0304|127 129|HB3
P10660069A0819|55 58|HOG1
P10660069A0819|99 106|RRD genes
P10660069A0819|113 116|Hog1
P10660069A0819|61 64|PBS2
P10660304A0522|27 41|tyrosine kinases
P10660304A0522|66 70|STAT3
P10660304A0522|66 70|STAT3
P10660604A0748|7 13|CARbeta
P10660604A0748|51 84|HD-PPRE luciferase reporter construct
P10660604A0748|15 22|RXRalpha
P10660676A0000|29 56|Transforming Growth Factor beta
P10660676A0000|58 64|TGFbeta
P10662550A0679|5 8|SOX8
P10662614A0000|120 137|monopartite genomes
P10662614A0000|194 214|potyviral polyproteins
P10662614A0972|60 65|HC-Pro
P10662614A0972|70 71|P3
P10662614A0972|76 77|CP
P10662614A0972|67 68|P1
P10663558T0000|7 27|endogenous light chains
P10663558T0000|100 123|anti-laminin Ig heavy chain
P10664876A0000|129 151|corticosteroid molecules
P10664876A0000|166 188|cross-reacting molecules
P10665798A0598|22 33|serum enzymes
P10665798A0598|63 81|alkaline phosphatase
P10666222A0330|39 48|cDNA clones
P10666222A0330|95 110|survivin proteins
P10666238A1322|19 21|E2F
P10666238A1322|37 46|-1 promoter
P10666238A1322|19 21|E2F
P10666253A1291|82 84|PBS
P10667597A0668|0 15|ZK7 and HZF16 genes
P10668701A1311|21 32|APOE epsilon4
P10669594A0000|30 33|AgfA
P10669594A0000|75 79|SEF17
P10669594A0000|138 140|PT3
P10669594A0000|206 224|metalloprotease gp63
P10669594A0000|83 87|SEF14
P10669594A0000|37 40|SefA
P10669594A0969|18 21|AgfA
P10669594A0969|32 51|chimeric SefA proteins
P10669596A0430|18 25|phage P22
P10669596A0430|85 88|Abc2
P10669596A0430|245 256|native enzyme
P10669596A0430|210 215|RecBCD
P10669596A0430|85 88|Abc2
P10669633A0391|85 93|flt-1 gene
P10669633A0391|115 124|THP-1 cells
P10669736A0903|29 31|CAT
P10669736A0903|110 112|PTB
P10669736A0903|62 70|HeLa cells
P10669751T0000|8 37|mitogen-activated protein kinase
P10669751T0000|84 96|c-jun promoter
P10669751T0000|65 78|cot oncoprotein
P10671224A0254|60 64|CD95L
P10671519A0641|34 37|MAN1
P10671519A0641|129 180|nuclear membrane proteins lamina-associated polypeptide 2
P10671519A0641|110 118|LEM module
P10671520T0000|24 57|human I-mfa domain-containing protein
P10671554A0492|60 64|cDNAs
P10671606A0884|104 106|APA
P10671606A0884|140 142|BAH
P10673426A0168|130 154|C-terminal cytotoxic domain
P10674395A0262|163 189|cGMP-dependent protein kinase
P10674484A0633|51 69|serotonergic neurons
P10675331A0600|11 15|c-Src
P10675331A0600|86 88|Erk
P10675331A0600|142 146|Stat3
P10675331A0600|70 72|Shc
P10675610A0279|0 4|MSSPs
P10675610A0279|108 119|C-MYC protein
P10677214A1045|21 24|E53D
P10677214A1045|28 38|E44D mutants
P10677214A2842|44 53|E44D mutant
P10677214A2842|140 145|Glu-44
P10677214A2842|112 124|I-helix I motif
P10677297A0933|139 151|cultured cells
P10679015A0216|53 59|snoRNPs
P10679065A0711|0 2|BCR
P10679065A0711|113 119|p38 MAPK
P10679065A0711|209 241|CREB serine 133 phosphoacceptor motif
P10679065A0711|121 164|MAPK-activated protein kinase-2 immune complexes
P10679065A0711|34 62|MAPK-activated protein kinase-2
P10679065A1217|93 95|BCR
P10679190A0693|24 47|upstream open reading frame
P10679190A0693|32 47|open reading frame
P10679190A0693|49 52|uORF
P10679781A1183|6 31|Glucocorticoid Response Unit
P10679922A1110|59 62|ING1
P10681520A0525|0 7|Ras-GRF1
P10681520A0525|100 102|Rac
P10681520A0525|116 120|Cdc42
P10681520A0525|110 112|Rho
P10681520A0525|32 36|v-Src
P10681562A0263|76 106|dominant-negative mutant receptor
P10681562A0263|116 133|wild-type PPARgamma
P10681588A0899|14 28|nuclear proteins
P10681588A0899|47 55|Rat2 cells
P10681588A0899|125 156|CCAAT enhancer-binding protein beta
P10681588A0899|213 221|CCAAT-box
P10681588A0899|242 254|nuclear factor
P10681588A0899|33 36|PC12
P10681588A0899|63 65|CRE
P10681588A0899|33 36|PC12
P10681588A0899|14 28|nuclear proteins
P10681588A0899|47 55|Rat2 cells
P10681588A0899|125 156|CCAAT enhancer-binding protein beta
P10681588A0899|213 221|CCAAT-box
P10681588A0899|242 254|nuclear factor
P10681588A0899|33 36|PC12
P10681588A0899|63 65|CRE
P10681588A0899|33 36|PC12
P10683072T0000|78 90|interleukin-2
P10683244A0939|31 41|NBF2 protein
P10683244A0939|31 34|NBF2
P10683244A1860|68 77|NBF2 domain
P10683989A0251|62 65|PaO2
P10683989A0251|69 72|SaO2
P10684097A0175|0 5|Forty 4
P10684111A1411|32 51|extracellular factors
P10684111A1411|78 84|MAPK p42
P10684111A1411|87 103|MAPK family members
P10684111A1411|68 74|MAPK p44
P10684265T0000|93 126|ubiquitin-homologous proteins SUMO-1
P10684660A1266|115 121|enzymes
P10684967A0000|20 28|NK2 family
P10684967A0000|31 72|homeodomain-containing transcription factors
P10687855A1197|40 61|pre-somatotrophic cells
P10687855A1197|74 78|Zn-16
P10687855T0000|93 109|zinc finger domains
P10687855T0000|126 130|Zn-15
P10687862A1980|3 26|CCAAT core sequence mutants
P10688639A1310|31 34|PU.1
P10688639A1310|84 87|p300
P10688639A1310|52 62|PEST domains
P10688646A0535|6 28|human erythroid K562 cells
P10688646A0535|80 128|human alpha-globin promoter-growth hormone hybrid gene
P10688646A0535|56 67|HS-40 mutants
P10688660A0992|32 34|CBP
P10688660A0992|146 172|progesterone response element
P10688660A0992|57 65|T47D cells
P10688661A0237|3 23|cognate binding protein
P10688661A0237|30 33|NRSF
P10688661A0237|117 139|dominant negative mutants
P10688661A0237|167 186|neuron-specific genes
P10688661A0237|48 66|transcription factor
P10688661A0237|25 28|REST
P10688663A0207|16 33|histone tail domains
P10688663A0207|139 144|TFIIIA
P10688663A0207|176 189|nucleosomal DNA
P10688663A0207|79 94|core histone tails
P10688666A1010|22 25|ASK1
P10690702A0065|8 38|Acetylcholine receptor antibodies
P10692374A1873|83 101|nucleotidase complex
P10692374A1873|185 213|N-terminal 73 amino acid residues
P10692374A1873|108 110|PAN
P10692374A1873|108 110|PAN
P10692433A0000|3 24|transcription factor E2F
P10694189A0469|11 13|MIB
P10694210A0385|21 23|H1R
P10694210A0385|21 23|H1R
P10694511A0570|34 48|mid1 mutant cells
P10696007A1325|27 28|C2
P10698516T0000|0 2|KFC
P10698516T0000|69 72|SAPK
P10698516T0000|74 76|JNK
P10698516T0000|5 9|Ste20
P10698937T0000|0 4|TIP30
P10698937T0000|68 81|apoptotic genes
P10698974A0951|15 28|human STAG3 gene
P10698974A0951|119 132|functional gene
P10698974A0951|35 37|q22
P10699354A0557|19 22|P300
P10702241A0357|11 19|a1 isoform
P10702253A0357|103 112|cDNA clones
P10702285A0855|113 152|dominant-interfering p85 regulatory subunit
P10702285A0855|235 239|GLUT4
P10702285A0855|219 223|Q209L
P10702794A1495|26 29|ERK2
P10702794A1495|58 62|HePTP
P10702794A1495|26 29|ERK2
P10702794A1495|58 62|HePTP
P10702926T0089|22 39|monoclonal antibody
P10702926T0089|46 68|alpha beta T cell receptors
P10703633A0747|153 156|-SEM
P10703633A0747|153 156|-SEM
P10704283A0649|124 139|35 expressed genes
P10704283A0649|145 172|human IL-4 cytokine gene cluster
P10704285A0536|0 8|Human AP-2
P10704338A0354|42 61|amino-terminal domain
P10704338A0354|194 213|p24 tertiary structure
P10704338A0354|172 184|alpha-helices
P10704410T0000|0 2|Clb
P10704410T0000|4 15|Cdc28 kinases
P10704499A0682|54 63|antibodies
P10704499A0682|158 160|PKC
P10704499A0682|158 160|PKC
P10704499A0682|164 166|MEK
P10704499A0682|120 147|nonreceptor tyrosine kinase p59
P10704853T0000|35 55|Nodal-related proteins
P10704975A0479|76 80|NOC-5
P10705380A0629|67 97|ventro-posterior specific regions
P10705380A0629|127 131|BMP-4
P10706475A0644|27 30|DSPP
P10706475A0644|50 52|DPP
P10706688A0376|11 13|TCR
P10706688A0376|107 115|NF-kappaB
P10706688A0376|30 33|AP-1
P10706736A1091|51 57|gp100 Ag
P10706736A1091|108 112|HLA-A
P10706736A1091|51 55|gp100
P10706736A1091|79 88|CD8+ T cells
P10706887A0281|34 36|ALK
P10708243A0000|27 54|non-organ-specific antibodies
P10708243A0000|31 54|organ-specific antibodies
P10708424A0800|59 63|BGLF4
P10708769A0433|3 22|Mif1 5' flanking region
P10708769A0433|42 67|ER stress-responsive element
P10712512A0506|0 4|Ste18
P10712599A0349|15 19|IRF-1
P10713083A0170|32 35|TraR
P10713083A0170|80 83|TraM
P10713083A0560|61 64|TraM
P10713083A0560|103 121|transcription factor
P10713083A0560|135 152|DNA recognition site
P10713083A0560|74 77|TraR
P10713155A0151|14 17|IIIa
P10713155A0151|145 152|HeLa cell
P10713155A0151|90 117|late adenovirus-infected cells
P10713161A0985|14 17|Ulp2
P10713161A0985|92 95|Smt3
P10713161A0985|39 42|ulp1
P10713175A1399|46 49|Mdm2
P10713175A1399|131 133|p53
P10713175A1399|113 127|ARF-Mdm2 complex
P10713176A0422|0 6|Cyclin A
P10713176A0422|46 48|E2F
P10713176A0422|99 102|p107
P10713176A0422|120 124|v-Jun
P10713176A0422|225 231|mitogen
P10713176A0422|107 110|p130
P10713176A0422|96 97|Rb
P10713176A0422|30 43|quiescent cells
P10713176A0885|33 34|Rb
P10713176A0885|102 105|cdk4
P10713176A0885|110 113|cdk6
P10713176A0885|52 73|v-Jun-transformed cells
P10713453A0172|30 50|monoclonal antibody Q18
P10713453A0172|127 132|Hrb57A
P10713453A0172|81 99|polytene chromosomes
P10714985A1057|99 106|TRAP-trp
P10715322A0000|35 46|DNA sequences
P10715325A0834|3 12|AtERF genes
P10715325A0834|147 150|EIN2
P10715325A0834|125 145|ETHYLENE-INSENSITIVE2
P10715602A0149|145 148|GmbH
P10717612A0000|92 137|granulocyte-macrophage-colony stimulating factor
P10717612A0000|163 175|interleukin-2
P10717612A0000|177 180|IL-2
P10717612A0000|139 144|GM-CSF
P10720434A0291|29 33|mRNAs
P10720434A0291|93 98|B1 mRNA
P10720434A0291|42 60|cis-acting sequences
P10721698A1195|35 49|dodecamer repeat
P10721698A1195|70 77|promoter
P10721698A1195|80 83|CSTB
P10721698A1195|62 77|proximal promoter
P10721704A1155|34 37|mHuA
P10721704A1155|81 90|Elav family
P10721704A1155|180 198|non-neural cell types
P10721704A1155|95 109|promoter element
P10721704A1155|52 75|neural-restricted members
P10721704X0000|52 83|transcriptional regulatory element
P10721704X0000|28 33|Elavl1
P10721704X0000|185 203|RNA-binding proteins
P10721704X0000|35 38|mHuA
P10721714A1087|46 48|Sp1
P10721714A1087|105 111|Sp1 site
P10721714A1087|80 95|proximal promoter
P10721717A0676|0 3|Fgd3
P10721717A0676|7 10|FGD1
P10722661A0146|0 3|CYC2
P10722661A0146|92 102|PHO80 cyclin
P10722661A0146|69 73|PREG1
P10722661A0406|13 16|CYC2
P10722661A0406|81 87|kinases
P10722661A0406|149 165|trypanosome genome
P10722661A0406|98 105|CYC2 gene
P10722661A0406|69 72|cdc2
P10722737A1726|37 39|Sp1
P10722737A1726|81 111|Kruppel-like transcription factor
P10722737A1726|37 39|Sp1
P10722737A1726|45 47|Inr
P10723723A0781|16 28|mouse promoter
P10723723A0781|105 109|exon 1
P10723723A0781|48 75|CT dinucleotide repeat sequence
P10724483A0540|44 60|SRP1 and HEM13 genes
P10724519A1185|28 74|regulatory RNAs or transcribed transposable elements
P10725017A0673|52 64|CEN ENV 12967-1
P10725382A0398|18 34|sos2 mutant alleles
P10725382A0398|83 108|C-terminal regulatory domain
P10725382A0398|111 114|SOS2
P10725382A0398|52 76|N-terminal catalytic domain
P10725433A0543|86 95|B cell lines
P10725433A0543|174 190|wild-type promoter
P10725433A0543|136 164|consensus CREB-binding sequence
P10727247A0461|97 109|TEF-1 isoforms
P10727413A1244|27 47|liver-enriched factors
P10727413A1244|143 156|regulatory unit
P10727413A1244|238 244|insulin
P10727413A1244|61 89|hamster CYP7A1 proximal promoter
P10727426A1280|19 23|PfPK6
P10727426A1280|37 49|CDK inhibitors
P10727428A0000|119 128|MAP kinases
P10727433A0560|17 39|CSF-1R expression plasmid
P10727433A0560|145 155|uPA promoter
P10727433A0560|195 223|oncogenic ras and protein kinase C
P10727433A0560|17 21|CSF-1
P10727433T0000|12 44|urokinase plasminogen activator gene
P10727433T0000|95 128|macrophage colony-stimulating factor
P10727433T0000|161 180|cell-surface receptor
P10727433T0000|130 134|CSF-1
P10727433T0000|63 92|RAW264 murine macrophage cell line
P10727511A0294|64 68|GLT-1
P10727515A1202|63 82|delta-opioid receptor
P10727515A1202|159 172|pertussis toxin
P10727515A1202|111 117|PLCbeta
P10728945A0233|21 30|Integrilin
P10728945A0233|71 83|Thrombosis-II
P10729151A1160|32 37|HPV-11
P10729155A0653|87 91|betaI
P10729155A0653|159 176|unassembled subunit
P10729220A0000|16 19|IGF2
P10729220A0000|56 63|H19 genes
P10729220A0000|21 51|human insulin-like growth factor II
P10729221A0798|46 61|Kv4 family members
P10731411A0958|94 113|DEAD-box RNA helicases
P10732669A0510|27 50|suspension-cultured cells
P10732669A0510|152 173|reporter gene constructs
P10732669A0510|186 203|HD-Zip binding sites
P10732669A0510|106 111|Oshox1
P10732669A1336|84 97|HD-Zip proteins
P10732669A1336|84 97|HD-Zip proteins
P10732669A1336|112 130|II can form homodimers
P10733569A0364|14 17|HSFs
P10733569A0364|119 122|HSF2
P10733569A0364|19 22|HSF1
P10733581A1391|35 58|constitutive activated Raf
P10733581A1391|100 104|TTF-1
P10733581A1391|62 70|V12N38 Ras
P10733591A0146|101 121|c-jun N-terminal kinase
P10733591A0146|123 125|JNK
P10733591A0533|0 25|Expression of activated Cdc42
P10733591A0533|21 25|Cdc42
P10734312A0503|19 21|Shc
P10734312A0503|97 106|Shc chimera
P10734312A0503|153 162|C-terminus
P10734312A0503|120 147|Ras membrane localization motif
P10734312A0503|19 21|Shc
P10735272A0649|151 165|glioma cell lines
P10735272A0649|181 185|ANOVA
P10735848A1440|0 3|RegA
P10736223A1227|46 49|prgX
P10736223A1227|80 83|prgQ
P10736223A1227|88 91|PrgX
P10736223A1227|68 77|Qa promoter
P10737366A0280|33 51|intraperitoneal PTFL
P10738139A0681|18 30|human cytokine
P10738139A0681|23 30|cytokine
P10739671A0136|84 132|putative human c-myb intron 1 transcription pause region
P10739671A0136|208 212|HL-60
P10739671A0136|269 280|binding sites
P10739671A0136|177 195|fibroblast WI 38 cells
P10741850A0452|0 27|Electrophile Response Elements
P10741850A0452|74 96|GCSh and GCSl subunit genes
P10741850A0452|29 33|EpREs
P10742114A0486|0 3|Dll3
P10743608A1154|137 149|daughter cells
P10743608A1154|226 237|microtubules
P10744749A0315|116 134|myogenic MyoD protein
P10744749A0315|161 171|bHLH factors
P10744749T0000|22 53|lymphotropic virus type 1 Tax protein
P10744749T0000|130 133|p300
P10744749T0000|119 127|KIX domain
P10747053A1102|152 156|TAF17
P10747099A0507|0 28|Extracellular-regulated kinase
P10747099A0507|69 87|adaptor proteins p130
P10747099A0507|212 236|three-dimensional collagen
P10747099A0507|88 90|Crk
P10747099A0507|30 32|ERK
P10747782A0390|13 43|Mbp1 and Swi4 DNA-protein complexes
P10747782A0390|169 179|core domains
P10747879A0607|17 40|CCR5 cis-regulatory region
P10747879A0607|50 65|open reading frame
P10747879A0607|50 65|open reading frame
P10747987A0658|3 20|recombinant enzymes
P10748113A0187|20 29|RIM protein
P10748113A0187|66 69|RIM1
P10748113A0187|37 40|RIM2
P10748125A0000|72 92|threonine phosphatases
P10748125A0000|94 96|PP1
P10748164A1284|30 38|AC element
P10748164A1284|105 121|regulatory factors
P10748175A0000|115 140|membrane-bound transporters
P10749145T0000|13 36|transforming PCPH proteins
P10749145T0000|81 91|oncoprotein
P10749145T0000|121 159|extracellular signal-regulated kinase ERK1
P10749145T0000|106 108|Ras
P10749145T0000|41 62|guanosine diphosphatase
P10749166A0991|24 48|virulence-associated genes
P10749849A0000|30 47|tumor suppressor p53
P10749932A0000|16 30|adaptor molecule
P10749932A0000|33 40|integrin
P10750020A0843|29 30|ER
P10750020A0843|61 84|Sp1 binding to GC-rich sites
P10750020A0843|114 133|ligand-independent ER
P10750020A0843|29 30|ER
P10750021A0728|22 56|deletion promoter-reporter constructs
P10750021A0728|98 111|proximal region
P10750021A0728|84 85|P2
P10750021A0728|84 85|P2
P10751398A1135|29 42|c-IAP2 promoter
P10751398A1135|76 114|Epstein-Barr virus latent membrane protein 1
P10751398A1135|70 73|CD40
P10752450A0288|25 52|self-applied fluoride products
P10752475A1376|81 95|malignant B cells
P10752475A1376|134 152|anti-CD20 antibodies
P10752475A1376|168 194|Fc-receptor-expressing cells
P10752475A1376|128 131|CD20
P10752807A1598|35 59|platelet-activating factor
P10756007A0575|18 29|RBE sequences
P10756007A0575|69 79|human genome
P10756007A1512|33 46|Rep-DNA complex
P10756007A1512|58 71|ch-19 target DNA
P10756020A0571|139 151|infected cells
P10756032A0599|38 52|cyclin E promoter
P10756032A0599|122 134|infected cells
P10756100A0457|39 41|IB1
P10756225A1464|56 58|CRS
P10756225A1464|132 139|IL-5 mRNA
P10757983A0733|20 30|CRS sequence
P10757983A0733|96 104|Adx factor
P10757983A0733|156 175|mouse ZBP-89 homologue
P10757983A0733|125 153|Kruppel-like zinc finger protein
P10757983A0733|78 94|zinc finger protein
P10758489A0206|28 31|ICK2
P10759693A0201|121 122|H2
P10760109A1050|134 137|tHcy
P10760109A1050|172 174|SCr
P10760109A1050|185 194|hemoglobin
P10760109A1050|144 154|plasma IGF-1
P10760132A1169|67 76|Ypt protein
P10760169A1142|25 33|CreA sites
P10760169A1142|56 83|transcription initiation sites
P10762254A0954|7 9|DMA
P10762254A0954|65 88|MMA methyltransferase gene
P10762254A0954|14 34|TMA methyltransferases
P10762254A0954|7 9|DMA
P10762254A0954|14 34|TMA methyltransferases
P10762348A0269|21 32|STAT proteins
P10763823A0824|16 20|mcl-1
P10763823A0824|79 99|mcl-1 antisense plasmid
P10763827A1158|64 74|ras oncogene
P10763827A1158|90 97|TGFbeta1
P10764150A0000|67 76|Raf kinases
P10764150A0000|110 120|FDC-P1 cells
P10764150A0000|90 97|cytokine
P10764729A1846|11 22|cDNA sequence
P10764729A1846|25 34|human betaV
P10764760T0000|35 58|HIV-1 long terminal repeats
P10764760T0000|64 66|JNK
P10764802A1258|20 36|alpha-helix domain
P10764802A1258|74 84|Kip proteins
P10764802A1258|70 72|Cip
P10765095A0308|31 33|PRL
P10765095A0308|31 33|PRL
P10766246A0000|0 24|Integrin adhesion receptors
P10767553A0100|66 89|helix transcription factor
P10767560A0105|49 59|exon-intron
P10767560A0105|126 147|mouse Pkr promoter region
P10767560A0105|77 88|mouse Pkr gene
P10769144A0000|3 5|CRE
P10769144A0000|66 76|cis-element
P10769144A0000|88 105|cAMP-regulated gene
P10769144A0000|43 59|consensus sequence
P10771528T0036|18 36|alkaline phosphatase
P10771709A0291|90 92|IgM
P10771709A0291|132 142|IgG antibody
P10772977A0222|27 37|PVX CP mutant
P10773351A0672|11 14|CD86
P10773351A0672|53 61|IFN-gamma
P10773351A0672|96 98|GAS
P10773351A0672|40 48|U937 cells
P10773455A1268|25 30|GATA-1
P10773455A1268|204 211|MEL cells
P10773455A1268|110 114|ALAS2
P10773455A1268|105 122|mouse ALAS2 promoter
P10773458A0000|0 6|SNAP-23
P10773458A0000|64 77|mammalian cells
P10773667A0351|3 11|HMG domain
P10773667A0351|18 30|HMG20 proteins
P10773951A0000|0 2|IgM
P10773951A0000|17 29|anti B antibody
P10773951A0000|6 13|IgG anti A
P10775038A0142|23 26|Wee1
P10775038A0142|23 26|Wee1
P10775585A0754|23 25|P70
P10775585A0754|27 28|S2
P10775623A0120|50 57|env genes
P10777217A0536|3 5|p53
P10777217A0536|3 5|p53
P10777217A0536|37 48|PIG3 promoter
P10777217A0536|72 89|proline-rich domain
P10777217A0536|37 48|PIG3 promoter
P10777499A0883|56 58|DE1
P10777499A0883|133 155|light-responsive element
P10777499A0883|78 90|phytochromes A
P10777586A1022|59 61|Sp1
P10777586A1022|124 141|DNA-protein complex
P10777586A1022|101 115|silencer element
P10777669A0582|3 12|ZNF274 gene
P10777669A0582|29 40|marker RP S28 1
P10778740A1493|3 27|C-terminal Cdk2 truncations
P10778740A1493|101 117|pho85 coding region
P10778757A0000|54 56|mn1
P10778757A0000|157 161|INCW2
P10779313A1842|21 34|atrial myocytes
P10779313A1842|95 116|ACh-evoked GIRK channels
P10779313A1842|40 53|Xenopus oocytes
P10779329T0000|23 25|Src
P10779352T0000|22 32|E2F3 product
P10779352T0000|90 99|Rb proteins
P10779508A0452|2 7|DNase I
P10779508A0452|75 121|glutathione S-transferase-ERRalpha1 fusion protein
P10779508A0452|43 59|SFRE and ERE regions
P10779508A0897|17 27|coactivator
P10779508A0897|57 65|ERRalpha1
P10779508A0897|36 40|GRIP1
P10779508T0000|0 37|Estrogen receptor-related receptor alpha 1
P10779508T0000|91 114|estrogen response elements
P10779508T0000|120 139|human lactoferrin gene
P10779508T0000|51 61|coactivator
P10780764A0722|65 68|PM10
P10780764A0722|83 87|PM2.5
P10780883T0000|42 67|interferon regulatory factor
P10780883T0000|115 130|interferon-alpha
P10781109T0000|41 58|double-stranded RNA
P10781423A0993|45 65|consensus binding sites
P10781423A0993|131 135|TTF-1
P10781423A0993|72 129|homeodomain transcription factor thyroid transcription factor-1
P10781541A1063|13 31|cis-acting sequences
P10781541A1063|62 70|promoters
P10781541A1063|51 70|region 1 and 3 promoters
P10781604A0827|38 55|minimal CTD sequence
P10781604A0827|102 108|Rsp5 WW2
P10781604A0827|89 100|Rsp5 WW domain
P10781611A1023|12 40|bone marrow-derived macrophages
P10781611A1023|30 40|macrophages
P10781990A0455|0 1|T1
P10782989A0575|52 81|amino-terminal DNA binding domain
P10782989A0575|66 81|DNA binding domain
P10786671A0182|68 83|catalytic subunit
P10786742A0670|18 32|platelet markers
P10787437A1616|31 52|transcription start site
P10787437A1616|69 73|SRE-1
P10788320A1034|23 33|TPR elements
P10788476A0891|24 67|C-terminal portion of Sec31A co-precipitate Sec13
P10788476A0891|136 143|G protein
P10788480T0000|12 57|mitochondrial single-stranded DNA-binding protein
P10790390X0000|71 74|mdg4
P10790390X0000|71 74|mdg4
P10791901A0609|17 41|human leukemic cell line K562
P10791901A0609|98 105|MRP1 gene
P10791901A0609|132 140|K562 cells
P10791901A0609|57 60|MRP1
P10792718T0000|18 30|AfsA homologue
P10792718T0000|32 35|BarX
P10793143A1533|61 64|ARS1
P10793143A1533|106 109|Cdc6
P10793991A0569|30 32|Web
P10794405A0000|59 67|histone H1
P10794405A0000|131 139|chromatin
P10794405A0000|66 67|H1
P10794936A0241|22 23|MB
P10794936A0241|30 36|MGIT 960
P10794936A0241|25 28|BacT
P10799501A1391|74 77|SPRK
P10799501A1391|90 94|Cdc42
P10799590A0431|0 21|Jkappa DNA-binding sites
P10799590A0431|91 118|Jkappa activated transcription
P10799590A0431|65 71|EBNA-3C
P10799590A0431|134 149|wild-type EBNA-3C
P10799590A0431|65 78|EBNA-3C protein
P10799595A1454|9 11|YY1
P10799595A1454|74 88|HPV-6 E1 promoter
P10799595A1454|15 17|CDP
P10799863T0000|20 36|metallopeptidases
P10799863T0000|101 116|MHC class I antigen
P10799863T0000|40 50|proteasomes
P10799879T0000|28 35|human Lnk
P10799879T0000|78 96|Src homology 2 domains
P10799879T0000|39 52|adaptor protein
P10801330A1714|8 10|Cas
P10801482A0968|14 16|p65
P10801482A0968|118 130|kappaB targets
P10801809T0000|30 46|yeast PHO8 promoter
P10801809T0000|75 86|PHO5 promoter
P10801860A0000|25 37|I-type lectins
P10801860A0000|39 71|immunoglobulin superfamily proteins
P10805286A0233|33 44|cis-elements
P10805286A0233|143 149|PCI mRNA
P10805286A0233|50 61|human PCI gene
P10805286A0914|12 18|PCI mRNA
P10805286A0914|12 18|PCI mRNA
P10805286A0914|69 75|PCI cDNA
P10805729A0987|81 84|DDP1
P10805737T0000|20 56|mammalian translation initiation factor 5
P10805737T0000|91 101|beta subunit
P10805737T0000|58 61|eIF5
P10805737T0000|58 61|eIF5
P10805737T0000|104 107|eIF2
P10805737T0000|58 61|eIF5
P10805738A0799|25 27|p38
P10805738A0799|51 59|p38 kinase
P10805738A0799|25 27|p38
P10805738A0799|43 46|MyoD
P10805738A0799|321 345|mouse embryonic fibroblasts
P10805738A0799|234 262|chromatin-integrated reporters
P10805738A0799|96 115|MyoD-responsive genes
P10805738A0799|43 46|MyoD
P10805739A0343|54 66|eIF2B subunits
P10805739A0640|46 54|C terminus
P10805739A0640|57 60|eIF2
P10805747A0633|75 78|Hsl1
P10807903A0362|0 1|D5
P10807903A0362|123 133|D1 receptors
P10809233A0606|60 62|H12
P10809233A0606|101 103|H11
P10810083A1283|3 28|serine-threonine kinase gene
P10810083A1283|58 72|zinc finger motif
P10810294A0730|0 3|Stat
P10810294A0730|31 34|IL-6
P10811079A1277|5 8|SPP2
P10811804A0000|49 53|MKP-3
P10811804A0800|86 90|Elk-1
P10811804A0800|134 138|MKP-3
